"difficulty","teamID","kickoff_time","teamName"
"4","1","Sun Sep 01 11:30:00 EDT 2019","Arsenal"
"2","1","Sun Sep 22 11:30:00 EDT 2019","Arsenal"
"2","1","Sun Oct 06 11:30:00 EDT 2019","Arsenal"
"3","1","Sun Oct 27 12:30:00 EDT 2019","Arsenal"
"3","1","Sat Nov 02 11:00:00 EDT 2019","Arsenal"
"2","1","Sat Nov 23 10:00:00 EST 2019","Arsenal"
"2","1","Tue Dec 03 14:45:00 EST 2019","Arsenal"
"4","1","Sat Dec 14 10:00:00 EST 2019","Arsenal"
"4","1","Sat Dec 28 10:00:00 EST 2019","Arsenal"
"4","1","Wed Jan 01 10:00:00 EST 2020","Arsenal"
"2","1","Sat Jan 18 10:00:00 EST 2020","Arsenal"
"2","1","Sat Feb 08 10:00:00 EST 2020","Arsenal"
"2","1","Sat Feb 22 10:00:00 EST 2020","Arsenal"
"2","1","Sat Mar 07 10:00:00 EST 2020","Arsenal"
"2","1","Sat Apr 04 10:00:00 EDT 2020","Arsenal"
"3","1","Sat Apr 18 10:00:00 EDT 2020","Arsenal"
"4","1","Sat May 02 10:00:00 EDT 2020","Arsenal"
"3","1","Sun May 17 10:00:00 EDT 2020","Arsenal"
"5","1","Sat Aug 24 12:30:00 EDT 2019","Arsenal"
"3","1","Sun Sep 15 11:30:00 EDT 2019","Arsenal"
"4","1","Mon Sep 30 15:00:00 EDT 2019","Arsenal"
"2","1","Mon Oct 21 15:00:00 EDT 2019","Arsenal"
"3","1","Sun Nov 10 10:00:00 EST 2019","Arsenal"
"2","1","Sun Dec 01 10:00:00 EST 2019","Arsenal"
"3","1","Sat Dec 07 10:00:00 EST 2019","Arsenal"
"4","1","Sat Dec 21 10:00:00 EST 2019","Arsenal"
"3","1","Thu Dec 26 10:00:00 EST 2019","Arsenal"
"2","1","Sat Jan 11 10:00:00 EST 2020","Arsenal"
"4","1","Wed Jan 22 14:45:00 EST 2020","Arsenal"
"2","1","Sat Feb 01 10:00:00 EST 2020","Arsenal"
"5","1","Sat Feb 29 10:00:00 EST 2020","Arsenal"
"2","1","Sat Mar 14 11:00:00 EDT 2020","Arsenal"
"2","1","Sat Mar 21 11:00:00 EDT 2020","Arsenal"
"3","1","Sat Apr 11 10:00:00 EDT 2020","Arsenal"
"4","1","Sat Apr 25 10:00:00 EDT 2020","Arsenal"
"2","1","Sat May 09 10:00:00 EDT 2020","Arsenal"
"2","2","Fri Aug 23 15:00:00 EDT 2019","Aston Villa"
"2","2","Mon Sep 16 15:00:00 EDT 2019","Aston Villa"
"2","2","Sat Sep 28 10:00:00 EDT 2019","Aston Villa"
"2","2","Sat Oct 19 10:00:00 EDT 2019","Aston Villa"
"4","2","Sat Nov 02 11:00:00 EDT 2019","Aston Villa"
"2","2","Sat Nov 23 10:00:00 EST 2019","Aston Villa"
"3","2","Sat Dec 07 10:00:00 EST 2019","Aston Villa"
"2","2","Sat Dec 21 10:00:00 EST 2019","Aston Villa"
"2","2","Thu Dec 26 10:00:00 EST 2019","Aston Villa"
"4","2","Sat Jan 11 10:00:00 EST 2020","Aston Villa"
"3","2","Tue Jan 21 14:45:00 EST 2020","Aston Villa"
"4","2","Sat Feb 08 10:00:00 EST 2020","Aston Villa"
"2","2","Sat Feb 29 10:00:00 EST 2020","Aston Villa"
"4","2","Sat Mar 14 11:00:00 EDT 2020","Aston Villa"
"3","2","Sat Apr 04 10:00:00 EDT 2020","Aston Villa"
"4","2","Sat Apr 18 10:00:00 EDT 2020","Aston Villa"
"3","2","Sat Apr 25 10:00:00 EDT 2020","Aston Villa"
"4","2","Sat May 09 10:00:00 EDT 2020","Aston Villa"
"2","2","Sat Aug 31 10:00:00 EDT 2019","Aston Villa"
"4","2","Sun Sep 22 11:30:00 EDT 2019","Aston Villa"
"2","2","Sat Oct 05 10:00:00 EDT 2019","Aston Villa"
"5","2","Sat Oct 26 07:30:00 EDT 2019","Aston Villa"
"3","2","Sat Nov 09 10:00:00 EST 2019","Aston Villa"
"4","2","Sun Dec 01 10:00:00 EST 2019","Aston Villa"
"4","2","Wed Dec 04 14:45:00 EST 2019","Aston Villa"
"2","2","Sat Dec 14 10:00:00 EST 2019","Aston Villa"
"3","2","Sat Dec 28 10:00:00 EST 2019","Aston Villa"
"2","2","Wed Jan 01 10:00:00 EST 2020","Aston Villa"
"2","2","Sat Jan 18 10:00:00 EST 2020","Aston Villa"
"3","2","Sat Feb 01 10:00:00 EST 2020","Aston Villa"
"2","2","Sat Feb 22 10:00:00 EST 2020","Aston Villa"
"3","2","Sat Mar 07 10:00:00 EST 2020","Aston Villa"
"3","2","Sat Mar 21 11:00:00 EDT 2020","Aston Villa"
"5","2","Sat Apr 11 10:00:00 EDT 2020","Aston Villa"
"4","2","Sat May 02 10:00:00 EDT 2020","Aston Villa"
"3","2","Sun May 17 10:00:00 EDT 2020","Aston Villa"
"4","3","Sun Aug 25 09:00:00 EDT 2019","Bournemouth"
"2","3","Sun Sep 15 09:00:00 EDT 2019","Bournemouth"
"2","3","Sat Sep 28 10:00:00 EDT 2019","Bournemouth"
"2","3","Sat Oct 19 10:00:00 EDT 2019","Bournemouth"
"4","3","Sat Nov 02 11:00:00 EDT 2019","Bournemouth"
"3","3","Sat Nov 23 10:00:00 EST 2019","Bournemouth"
"4","3","Sat Dec 07 10:00:00 EST 2019","Bournemouth"
"2","3","Sat Dec 21 10:00:00 EST 2019","Bournemouth"
"4","3","Thu Dec 26 10:00:00 EST 2019","Bournemouth"
"3","3","Sat Jan 11 10:00:00 EST 2020","Bournemouth"
"2","3","Tue Jan 21 14:45:00 EST 2020","Bournemouth"
"2","3","Sat Feb 01 10:00:00 EST 2020","Bournemouth"
"4","3","Sat Feb 29 10:00:00 EST 2020","Bournemouth"
"3","3","Sat Mar 14 11:00:00 EDT 2020","Bournemouth"
"2","3","Sat Apr 04 10:00:00 EDT 2020","Bournemouth"
"4","3","Sat Apr 18 10:00:00 EDT 2020","Bournemouth"
"3","3","Sat Apr 25 10:00:00 EDT 2020","Bournemouth"
"2","3","Sat May 09 10:00:00 EDT 2020","Bournemouth"
"3","3","Sat Aug 31 10:00:00 EDT 2019","Bournemouth"
"2","3","Fri Sep 20 15:00:00 EDT 2019","Bournemouth"
"4","3","Sun Oct 06 11:30:00 EDT 2019","Bournemouth"
"3","3","Sat Oct 26 10:00:00 EDT 2019","Bournemouth"
"3","3","Sat Nov 09 10:00:00 EST 2019","Bournemouth"
"4","3","Sat Nov 30 10:00:00 EST 2019","Bournemouth"
"2","3","Wed Dec 04 15:00:00 EST 2019","Bournemouth"
"4","3","Sat Dec 14 10:00:00 EST 2019","Bournemouth"
"2","3","Sat Dec 28 10:00:00 EST 2019","Bournemouth"
"3","3","Wed Jan 01 10:00:00 EST 2020","Bournemouth"
"2","3","Sat Jan 18 10:00:00 EST 2020","Bournemouth"
"2","3","Sat Feb 08 10:00:00 EST 2020","Bournemouth"
"2","3","Sat Feb 22 10:00:00 EST 2020","Bournemouth"
"5","3","Sat Mar 07 10:00:00 EST 2020","Bournemouth"
"3","3","Sat Mar 21 11:00:00 EDT 2020","Bournemouth"
"4","3","Sat Apr 11 10:00:00 EDT 2020","Bournemouth"
"5","3","Sat May 02 10:00:00 EDT 2020","Bournemouth"
"4","3","Sun May 17 10:00:00 EDT 2020","Bournemouth"
"2","4","Sat Aug 24 10:00:00 EDT 2019","Brighton"
"2","4","Sat Sep 14 10:00:00 EDT 2019","Brighton"
"4","4","Sat Oct 05 07:30:00 EDT 2019","Brighton"
"2","4","Sat Oct 26 10:00:00 EDT 2019","Brighton"
"2","4","Sat Nov 02 11:00:00 EDT 2019","Brighton"
"3","4","Sat Nov 23 10:00:00 EST 2019","Brighton"
"3","4","Sat Dec 07 10:00:00 EST 2019","Brighton"
"2","4","Sat Dec 21 10:00:00 EST 2019","Brighton"
"2","4","Sat Dec 28 10:00:00 EST 2019","Brighton"
"4","4","Wed Jan 01 10:00:00 EST 2020","Brighton"
"2","4","Sat Jan 18 10:00:00 EST 2020","Brighton"
"3","4","Sat Feb 08 10:00:00 EST 2020","Brighton"
"3","4","Sat Feb 29 10:00:00 EST 2020","Brighton"
"4","4","Sat Mar 14 11:00:00 EDT 2020","Brighton"
"4","4","Sat Apr 04 10:00:00 EDT 2020","Brighton"
"4","4","Sat Apr 18 10:00:00 EDT 2020","Brighton"
"4","4","Sat Apr 25 10:00:00 EDT 2020","Brighton"
"2","4","Sat May 09 10:00:00 EDT 2020","Brighton"
"5","4","Sat Aug 31 10:00:00 EDT 2019","Brighton"
"3","4","Sat Sep 21 12:30:00 EDT 2019","Brighton"
"4","4","Sat Sep 28 10:00:00 EDT 2019","Brighton"
"2","4","Sat Oct 19 10:00:00 EDT 2019","Brighton"
"4","4","Sun Nov 10 10:00:00 EST 2019","Brighton"
"5","4","Sat Nov 30 10:00:00 EST 2019","Brighton"
"4","4","Tue Dec 03 14:45:00 EST 2019","Brighton"
"2","4","Sat Dec 14 10:00:00 EST 2019","Brighton"
"4","4","Thu Dec 26 10:00:00 EST 2019","Brighton"
"4","4","Sat Jan 11 10:00:00 EST 2020","Brighton"
"3","4","Tue Jan 21 14:45:00 EST 2020","Brighton"
"3","4","Sat Feb 01 10:00:00 EST 2020","Brighton"
"2","4","Sat Feb 22 10:00:00 EST 2020","Brighton"
"3","4","Sat Mar 07 10:00:00 EST 2020","Brighton"
"3","4","Sat Mar 21 11:00:00 EDT 2020","Brighton"
"2","4","Sat Apr 11 10:00:00 EDT 2020","Brighton"
"2","4","Sat May 02 10:00:00 EDT 2020","Brighton"
"2","4","Sun May 17 10:00:00 EDT 2020","Brighton"
"4","5","Sat Aug 31 12:30:00 EDT 2019","Burnley"
"2","5","Sat Sep 21 10:00:00 EDT 2019","Burnley"
"2","5","Sat Oct 05 10:00:00 EDT 2019","Burnley"
"4","5","Sat Oct 26 12:30:00 EDT 2019","Burnley"
"2","5","Sat Nov 09 10:00:00 EST 2019","Burnley"
"3","5","Sat Nov 30 10:00:00 EST 2019","Burnley"
"4","5","Tue Dec 03 14:45:00 EST 2019","Burnley"
"2","5","Sat Dec 14 10:00:00 EST 2019","Burnley"
"4","5","Sat Dec 28 10:00:00 EST 2019","Burnley"
"2","5","Wed Jan 01 10:00:00 EST 2020","Burnley"
"3","5","Sat Jan 18 10:00:00 EST 2020","Burnley"
"4","5","Sat Feb 01 10:00:00 EST 2020","Burnley"
"2","5","Sat Feb 22 10:00:00 EST 2020","Burnley"
"4","5","Sat Mar 07 10:00:00 EST 2020","Burnley"
"3","5","Sat Mar 21 11:00:00 EDT 2020","Burnley"
"2","5","Sat Apr 11 10:00:00 EDT 2020","Burnley"
"3","5","Sat May 02 10:00:00 EDT 2020","Burnley"
"2","5","Sun May 17 10:00:00 EDT 2020","Burnley"
"3","5","Sun Aug 25 11:30:00 EDT 2019","Burnley"
"2","5","Sat Sep 14 10:00:00 EDT 2019","Burnley"
"2","5","Sat Sep 28 10:00:00 EDT 2019","Burnley"
"3","5","Sat Oct 19 10:00:00 EDT 2019","Burnley"
"2","5","Sat Nov 02 11:00:00 EDT 2019","Burnley"
"3","5","Sat Nov 23 10:00:00 EST 2019","Burnley"
"4","5","Sat Dec 07 10:00:00 EST 2019","Burnley"
"3","5","Sat Dec 21 10:00:00 EST 2019","Burnley"
