time,team,fiveFixtures
2018-08-17T18:15:00+00:00,Girona,"[nan, nan, 2.0, 2.0, 2.0]"
2018-08-26T20:15:00+00:00,Girona,"[nan, 2.0, 2.0, 2.0, 2.0]"
2018-08-31T20:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-17T19:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-23T18:45:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-27T20:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-30T10:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-06T11:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-22T19:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-27T11:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-03T17:30:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-10T19:45:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-25T17:30:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-02T15:15:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-10T20:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-16T11:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-21T18:30:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-04T18:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-12T17:30:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-20T11:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-27T15:15:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-03T17:30:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-09T19:45:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-17T11:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-25T20:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-01T20:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-10T15:15:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-16T19:45:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-29T20:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-02T17:30:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-06T11:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-14T16:30:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-20T11:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-23T18:30:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-28T12:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-05T10:00:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-12T16:30:00+00:00,Girona,"[2.0, 2.0, 2.0, 2.0, nan]"
2019-05-18T18:45:00+00:00,Girona,"[2.0, 2.0, 2.0, nan, nan]"
2018-08-17T20:15:00+00:00,Real Betis,"[nan, nan, 2.0, 2.0, 2.0]"
2018-08-25T16:15:00+00:00,Real Betis,"[nan, 2.0, 2.0, 2.0, 2.0]"
2018-09-02T18:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-15T16:30:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-23T18:00:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-27T20:00:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-30T18:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-07T14:15:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-21T18:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-28T11:00:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-04T19:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-11T15:15:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-25T19:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-02T11:00:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-09T19:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-16T15:15:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-22T12:00:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-05T19:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-13T19:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-20T11:00:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-27T17:30:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-03T15:15:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-10T11:00:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-17T19:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-24T17:30:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-03T15:15:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-10T11:00:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-17T19:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-31T12:00:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-04T19:30:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-07T18:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-13T18:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-21T18:45:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-24T19:30:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-29T19:00:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-05T12:00:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-12T16:30:00+00:00,Real Betis,"[2.0, 2.0, 2.0, 2.0, nan]"
2019-05-19T10:00:00+00:00,Real Betis,"[2.0, 2.0, 2.0, nan, nan]"
2018-08-18T16:15:00+00:00,Celta Vigo,"[nan, nan, 2.0, 2.0, 2.0]"
2018-08-27T18:15:00+00:00,Celta Vigo,"[nan, 2.0, 2.0, 2.0, 2.0]"
2018-09-01T16:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-17T19:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-22T14:15:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-26T20:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-01T19:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-07T16:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-19T19:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-27T16:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-04T19:45:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-11T19:45:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-26T20:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-01T12:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-08T17:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-14T20:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-22T17:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-07T20:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-11T20:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-19T19:45:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-27T11:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-02T19:45:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-09T12:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-16T12:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-23T17:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-03T11:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-10T11:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-16T15:15:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-30T17:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-03T18:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-07T16:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-13T16:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-20T11:00:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-24T18:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-27T16:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-04T18:45:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-12T16:30:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, 2.0, nan]"
2019-05-18T18:45:00+00:00,Celta Vigo,"[2.0, 2.0, 2.0, nan, nan]"
2018-08-18T18:15:00+00:00,Villarreal,"[nan, nan, 2.0, 2.0, 2.0]"
2018-08-26T20:15:00+00:00,Villarreal,"[nan, 2.0, 2.0, 2.0, 2.0]"
2018-08-31T20:00:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-16T10:00:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-23T14:15:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-26T18:00:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-30T14:15:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-07T16:30:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-20T16:30:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-28T17:30:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-04T15:15:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-11T17:30:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-25T19:45:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-02T17:30:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-08T17:30:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-16T17:30:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-03T20:30:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-06T11:00:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-12T19:45:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-20T15:15:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-26T19:45:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-03T11:00:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-08T20:00:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-17T17:30:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-24T15:15:00+00:00,Villarreal,"[2.0, 2.0, 2.0, 2.0, 2.0]"
