time,team,fiveFixtures
2019-08-16T18:30:00+00:00,Bayern Munich,"[nan, nan, 3.0, 2.0, 2.0]"
2019-08-24T16:30:00+00:00,Bayern Munich,"[nan, 3.0, 2.0, 2.0, 5.0]"
2019-08-31T13:30:00+00:00,Bayern Munich,"[3.0, 2.0, 2.0, 5.0, 2.0]"
2019-09-14T16:30:00+00:00,Bayern Munich,"[2.0, 2.0, 5.0, 2.0, 2.0]"
2019-09-21T13:30:00+00:00,Bayern Munich,"[2.0, 5.0, 2.0, 2.0, 2.0]"
2019-09-28T13:30:00+00:00,Bayern Munich,"[5.0, 2.0, 2.0, 2.0, 2.0]"
2019-10-04T00:00:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-10-18T00:00:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 4.0]"
2019-10-25T00:00:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 4.0, 5.0]"
2019-11-01T00:00:00+00:00,Bayern Munich,"[2.0, 2.0, 4.0, 5.0, 3.0]"
2019-11-08T00:00:00+00:00,Bayern Munich,"[2.0, 4.0, 5.0, 3.0, 2.0]"
2019-11-22T00:00:00+00:00,Bayern Munich,"[4.0, 5.0, 3.0, 2.0, 4.0]"
2019-11-29T00:00:00+00:00,Bayern Munich,"[5.0, 3.0, 2.0, 4.0, 4.0]"
2019-12-06T00:00:00+00:00,Bayern Munich,"[3.0, 2.0, 4.0, 4.0, 2.0]"
2019-12-13T00:00:00+00:00,Bayern Munich,"[2.0, 4.0, 4.0, 2.0, 2.0]"
2019-12-17T00:00:00+00:00,Bayern Munich,"[4.0, 4.0, 2.0, 2.0, 3.0]"
2019-12-20T00:00:00+00:00,Bayern Munich,"[4.0, 2.0, 2.0, 3.0, 2.0]"
2020-01-17T00:00:00+00:00,Bayern Munich,"[2.0, 2.0, 3.0, 2.0, 2.0]"
2020-01-24T00:00:00+00:00,Bayern Munich,"[2.0, 3.0, 2.0, 2.0, 5.0]"
2020-01-31T00:00:00+00:00,Bayern Munich,"[3.0, 2.0, 2.0, 5.0, 2.0]"
2020-02-07T00:00:00+00:00,Bayern Munich,"[2.0, 2.0, 5.0, 2.0, 2.0]"
2020-02-14T00:00:00+00:00,Bayern Munich,"[2.0, 5.0, 2.0, 2.0, 2.0]"
2020-02-21T00:00:00+00:00,Bayern Munich,"[5.0, 2.0, 2.0, 2.0, 2.0]"
2020-02-28T00:00:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2020-03-06T00:00:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 4.0]"
2020-03-13T00:00:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 4.0, 5.0]"
2020-03-20T00:00:00+00:00,Bayern Munich,"[2.0, 2.0, 4.0, 5.0, 3.0]"
2020-04-03T00:00:00+00:00,Bayern Munich,"[2.0, 4.0, 5.0, 3.0, 2.0]"
2020-04-10T00:00:00+00:00,Bayern Munich,"[4.0, 5.0, 3.0, 2.0, 4.0]"
2020-04-17T00:00:00+00:00,Bayern Munich,"[5.0, 3.0, 2.0, 4.0, 4.0]"
2020-04-24T00:00:00+00:00,Bayern Munich,"[3.0, 2.0, 4.0, 4.0, 2.0]"
2020-05-01T00:00:00+00:00,Bayern Munich,"[2.0, 4.0, 4.0, 2.0, 2.0]"
2020-05-09T13:30:00+00:00,Bayern Munich,"[4.0, 4.0, 2.0, 2.0, nan]"
2020-05-16T13:30:00+00:00,Bayern Munich,"[4.0, 2.0, 2.0, nan, nan]"
2019-08-17T13:30:00+00:00,Borussia Dortmund,"[nan, nan, 2.0, 2.0, 2.0]"
2019-08-23T18:30:00+00:00,Borussia Dortmund,"[nan, 2.0, 2.0, 2.0, 2.0]"
2019-08-31T16:30:00+00:00,Borussia Dortmund,"[2.0, 2.0, 2.0, 2.0, 4.0]"
2019-09-14T13:30:00+00:00,Borussia Dortmund,"[2.0, 2.0, 2.0, 4.0, 4.0]"
2019-09-22T16:00:00+00:00,Borussia Dortmund,"[2.0, 2.0, 4.0, 4.0, 2.0]"
2019-09-28T16:30:00+00:00,Borussia Dortmund,"[2.0, 4.0, 4.0, 2.0, 4.0]"
2019-10-04T00:00:00+00:00,Borussia Dortmund,"[4.0, 4.0, 2.0, 4.0, 2.0]"
2019-10-18T00:00:00+00:00,Borussia Dortmund,"[4.0, 2.0, 4.0, 2.0, 2.0]"
2019-10-25T00:00:00+00:00,Borussia Dortmund,"[2.0, 4.0, 2.0, 2.0, 5.0]"
2019-11-01T00:00:00+00:00,Borussia Dortmund,"[4.0, 2.0, 2.0, 5.0, 2.0]"
2019-11-08T00:00:00+00:00,Borussia Dortmund,"[2.0, 2.0, 5.0, 2.0, 3.0]"
2019-11-22T00:00:00+00:00,Borussia Dortmund,"[2.0, 5.0, 2.0, 3.0, 3.0]"
2019-11-29T00:00:00+00:00,Borussia Dortmund,"[5.0, 2.0, 3.0, 3.0, 2.0]"
2019-12-06T00:00:00+00:00,Borussia Dortmund,"[2.0, 3.0, 3.0, 2.0, 5.0]"
2019-12-13T00:00:00+00:00,Borussia Dortmund,"[3.0, 3.0, 2.0, 5.0, 2.0]"
2019-12-17T00:00:00+00:00,Borussia Dortmund,"[3.0, 2.0, 5.0, 2.0, 2.0]"
2019-12-20T00:00:00+00:00,Borussia Dortmund,"[2.0, 5.0, 2.0, 2.0, 2.0]"
2020-01-17T00:00:00+00:00,Borussia Dortmund,"[5.0, 2.0, 2.0, 2.0, 2.0]"
2020-01-24T00:00:00+00:00,Borussia Dortmund,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2020-01-31T00:00:00+00:00,Borussia Dortmund,"[2.0, 2.0, 2.0, 2.0, 4.0]"
2020-02-07T00:00:00+00:00,Borussia Dortmund,"[2.0, 2.0, 2.0, 4.0, 4.0]"
2020-02-14T00:00:00+00:00,Borussia Dortmund,"[2.0, 2.0, 4.0, 4.0, 2.0]"
2020-02-21T00:00:00+00:00,Borussia Dortmund,"[2.0, 4.0, 4.0, 2.0, 4.0]"
2020-02-28T00:00:00+00:00,Borussia Dortmund,"[4.0, 4.0, 2.0, 4.0, 2.0]"
2020-03-06T00:00:00+00:00,Borussia Dortmund,"[4.0, 2.0, 4.0, 2.0, 2.0]"
2020-03-13T00:00:00+00:00,Borussia Dortmund,"[2.0, 4.0, 2.0, 2.0, 5.0]"
2020-03-20T00:00:00+00:00,Borussia Dortmund,"[4.0, 2.0, 2.0, 5.0, 2.0]"
2020-04-03T00:00:00+00:00,Borussia Dortmund,"[2.0, 2.0, 5.0, 2.0, 3.0]"
2020-04-10T00:00:00+00:00,Borussia Dortmund,"[2.0, 5.0, 2.0, 3.0, 3.0]"
2020-04-17T00:00:00+00:00,Borussia Dortmund,"[5.0, 2.0, 3.0, 3.0, 2.0]"
2020-04-24T00:00:00+00:00,Borussia Dortmund,"[2.0, 3.0, 3.0, 2.0, 5.0]"
2020-05-01T00:00:00+00:00,Borussia Dortmund,"[3.0, 3.0, 2.0, 5.0, 2.0]"
2020-05-09T13:30:00+00:00,Borussia Dortmund,"[3.0, 2.0, 5.0, 2.0, nan]"
2020-05-16T13:30:00+00:00,Borussia Dortmund,"[2.0, 5.0, 2.0, nan, nan]"
2019-08-17T13:30:00+00:00,Bayer Leverkusen,"[nan, nan, 2.0, 3.0, 2.0]"
2019-08-24T13:30:00+00:00,Bayer Leverkusen,"[nan, 2.0, 3.0, 2.0, 5.0]"
2019-08-31T13:30:00+00:00,Bayer Leverkusen,"[2.0, 3.0, 2.0, 5.0, 2.0]"
2019-09-14T13:30:00+00:00,Bayer Leverkusen,"[3.0, 2.0, 5.0, 2.0, 2.0]"
2019-09-21T13:30:00+00:00,Bayer Leverkusen,"[2.0, 5.0, 2.0, 2.0, 5.0]"
2019-09-28T13:30:00+00:00,Bayer Leverkusen,"[5.0, 2.0, 2.0, 5.0, 4.0]"
