time,team,fiveFixtures
2019-08-16T19:00:00+00:00,Athletic Club,"[nan, nan, 5.0, 4.0, 3.0]"
2019-08-24T19:00:00+00:00,Athletic Club,"[nan, 5.0, 4.0, 3.0, 2.0]"
2019-08-30T20:00:00+00:00,Athletic Club,"[5.0, 4.0, 3.0, 2.0, 3.0]"
2019-09-13T19:00:00+00:00,Athletic Club,"[4.0, 3.0, 2.0, 3.0, 2.0]"
2019-09-22T16:30:00+00:00,Athletic Club,"[3.0, 2.0, 3.0, 2.0, 5.0]"
2019-09-25T17:00:00+00:00,Athletic Club,"[2.0, 3.0, 2.0, 5.0, 2.0]"
2019-09-28T11:00:00+00:00,Athletic Club,"[3.0, 2.0, 5.0, 2.0, 2.0]"
2019-10-05T00:00:00+00:00,Athletic Club,"[2.0, 5.0, 2.0, 2.0, 5.0]"
2019-10-19T00:00:00+00:00,Athletic Club,"[5.0, 2.0, 2.0, 5.0, 4.0]"
2019-10-26T00:00:00+00:00,Athletic Club,"[2.0, 2.0, 5.0, 4.0, 2.0]"
2019-10-29T00:00:00+00:00,Athletic Club,"[2.0, 5.0, 4.0, 2.0, 2.0]"
2019-11-02T00:00:00+00:00,Athletic Club,"[5.0, 4.0, 2.0, 2.0, 2.0]"
2019-11-09T00:00:00+00:00,Athletic Club,"[4.0, 2.0, 2.0, 2.0, 2.0]"
2019-11-23T00:00:00+00:00,Athletic Club,"[2.0, 2.0, 2.0, 2.0, 3.0]"
2019-11-30T00:00:00+00:00,Athletic Club,"[2.0, 2.0, 2.0, 3.0, 3.0]"
2019-12-07T00:00:00+00:00,Athletic Club,"[2.0, 2.0, 3.0, 3.0, 5.0]"
2019-12-14T00:00:00+00:00,Athletic Club,"[2.0, 3.0, 3.0, 5.0, 4.0]"
2019-12-21T00:00:00+00:00,Athletic Club,"[3.0, 3.0, 5.0, 4.0, 2.0]"
2020-01-04T00:00:00+00:00,Athletic Club,"[3.0, 5.0, 4.0, 2.0, 4.0]"
2020-01-18T00:00:00+00:00,Athletic Club,"[5.0, 4.0, 2.0, 4.0, 4.0]"
2020-01-25T00:00:00+00:00,Athletic Club,"[4.0, 2.0, 4.0, 4.0, 3.0]"
2020-02-01T00:00:00+00:00,Athletic Club,"[2.0, 4.0, 4.0, 3.0, 2.0]"
2020-02-08T00:00:00+00:00,Athletic Club,"[4.0, 4.0, 3.0, 2.0, 3.0]"
2020-02-15T00:00:00+00:00,Athletic Club,"[4.0, 3.0, 2.0, 3.0, 2.0]"
2020-02-22T00:00:00+00:00,Athletic Club,"[3.0, 2.0, 3.0, 2.0, 2.0]"
2020-02-29T00:00:00+00:00,Athletic Club,"[2.0, 3.0, 2.0, 2.0, 5.0]"
2020-03-07T00:00:00+00:00,Athletic Club,"[3.0, 2.0, 2.0, 5.0, 3.0]"
2020-03-14T00:00:00+00:00,Athletic Club,"[2.0, 2.0, 5.0, 3.0, 3.0]"
2020-03-21T00:00:00+00:00,Athletic Club,"[2.0, 5.0, 3.0, 3.0, 5.0]"
2020-04-04T00:00:00+00:00,Athletic Club,"[5.0, 3.0, 3.0, 5.0, 2.0]"
2020-04-11T00:00:00+00:00,Athletic Club,"[3.0, 3.0, 5.0, 2.0, 5.0]"
2020-04-21T00:00:00+00:00,Athletic Club,"[3.0, 5.0, 2.0, 5.0, 5.0]"
2020-04-25T00:00:00+00:00,Athletic Club,"[5.0, 2.0, 5.0, 5.0, 4.0]"
2020-05-02T00:00:00+00:00,Athletic Club,"[2.0, 5.0, 5.0, 4.0, 2.0]"
2020-05-09T00:00:00+00:00,Athletic Club,"[5.0, 5.0, 4.0, 2.0, 2.0]"
2020-05-12T00:00:00+00:00,Athletic Club,"[5.0, 4.0, 2.0, 2.0, 2.0]"
2020-05-16T00:00:00+00:00,Athletic Club,"[4.0, 2.0, 2.0, 2.0, nan]"
2020-05-23T00:00:00+00:00,Athletic Club,"[2.0, 2.0, 2.0, nan, nan]"
2019-08-17T15:00:00+00:00,Celta Vigo,"[nan, nan, 5.0, 5.0, 4.0]"
2019-08-24T19:00:00+00:00,Celta Vigo,"[nan, 5.0, 5.0, 4.0, 2.0]"
2019-08-30T18:00:00+00:00,Celta Vigo,"[5.0, 5.0, 4.0, 2.0, 5.0]"
2019-09-15T14:00:00+00:00,Celta Vigo,"[5.0, 4.0, 2.0, 5.0, 4.0]"
2019-09-21T16:30:00+00:00,Celta Vigo,"[4.0, 2.0, 5.0, 4.0, 3.0]"
2019-09-26T18:00:00+00:00,Celta Vigo,"[2.0, 5.0, 4.0, 3.0, 2.0]"
2019-09-29T12:00:00+00:00,Celta Vigo,"[5.0, 4.0, 3.0, 2.0, 3.0]"
2019-10-05T00:00:00+00:00,Celta Vigo,"[4.0, 3.0, 2.0, 3.0, 3.0]"
2019-10-19T00:00:00+00:00,Celta Vigo,"[3.0, 2.0, 3.0, 3.0, 3.0]"
