time,team,fiveFixtures
2018-08-10T18:45:00+00:00,Marseille,"[nan, nan, 1.0, 2.0, 4.0]"
2018-08-19T19:00:00+00:00,Marseille,"[nan, 1.0, 2.0, 4.0, 5.0]"
2018-08-26T19:00:00+00:00,Marseille,"[1.0, 2.0, 4.0, 5.0, 3.0]"
2018-09-02T19:00:00+00:00,Marseille,"[2.0, 4.0, 5.0, 3.0, 2.0]"
2018-09-16T19:00:00+00:00,Marseille,"[4.0, 5.0, 3.0, 2.0, 2.0]"
2018-09-23T19:00:00+00:00,Marseille,"[5.0, 3.0, 2.0, 2.0, 1.0]"
2018-09-26T17:00:00+00:00,Marseille,"[3.0, 2.0, 2.0, 1.0, 2.0]"
2018-09-30T19:00:00+00:00,Marseille,"[2.0, 2.0, 1.0, 2.0, 4.0]"
2018-10-07T15:00:00+00:00,Marseille,"[2.0, 1.0, 2.0, 4.0, 5.0]"
2018-10-21T19:00:00+00:00,Marseille,"[1.0, 2.0, 4.0, 5.0, 3.0]"
2018-10-28T20:00:00+00:00,Marseille,"[2.0, 4.0, 5.0, 3.0, 3.0]"
2018-11-04T20:00:00+00:00,Marseille,"[4.0, 5.0, 3.0, 3.0, 2.0]"
2018-11-11T16:00:00+00:00,Marseille,"[5.0, 3.0, 3.0, 2.0, 2.0]"
2018-11-25T20:00:00+00:00,Marseille,"[3.0, 3.0, 2.0, 2.0, 3.0]"
2018-12-02T16:00:00+00:00,Marseille,"[3.0, 2.0, 2.0, 3.0, 2.0]"
2018-12-05T18:00:00+00:00,Marseille,"[2.0, 2.0, 3.0, 2.0, 5.0]"
2018-12-22T20:00:00+00:00,Marseille,"[2.0, 3.0, 2.0, 5.0, 2.0]"
2019-01-13T20:00:00+00:00,Marseille,"[3.0, 2.0, 5.0, 2.0, 2.0]"
2019-01-16T20:00:00+00:00,Marseille,"[2.0, 5.0, 2.0, 2.0, 1.0]"
2019-01-20T16:00:00+00:00,Marseille,"[5.0, 2.0, 2.0, 1.0, 2.0]"
2019-01-25T19:45:00+00:00,Marseille,"[2.0, 2.0, 1.0, 2.0, 4.0]"
2019-02-02T20:00:00+00:00,Marseille,"[2.0, 1.0, 2.0, 4.0, 3.0]"
2019-02-05T18:00:00+00:00,Marseille,"[1.0, 2.0, 4.0, 3.0, 2.0]"
2019-02-08T19:45:00+00:00,Marseille,"[2.0, 4.0, 3.0, 2.0, 4.0]"
2019-02-16T16:00:00+00:00,Marseille,"[4.0, 3.0, 2.0, 4.0, 2.0]"
2019-02-24T16:00:00+00:00,Marseille,"[3.0, 2.0, 4.0, 2.0, 4.0]"
2019-03-03T20:00:00+00:00,Marseille,"[2.0, 4.0, 2.0, 4.0, 5.0]"
2019-03-10T20:00:00+00:00,Marseille,"[4.0, 2.0, 4.0, 5.0, 2.0]"
2019-03-17T20:00:00+00:00,Marseille,"[2.0, 4.0, 5.0, 2.0, 4.0]"
2019-03-30T16:00:00+00:00,Marseille,"[4.0, 5.0, 2.0, 4.0, 2.0]"
