time,team,fiveFixtures
2018-08-18T16:00:00+00:00,Chievo,"[nan, nan, 5.0, 4.0, 2.0]"
2018-08-26T18:30:00+00:00,Chievo,"[nan, 5.0, 4.0, 2.0, 5.0]"
2018-09-02T18:30:00+00:00,Chievo,"[5.0, 4.0, 2.0, 5.0, 2.0]"
2018-09-16T10:30:00+00:00,Chievo,"[4.0, 2.0, 5.0, 2.0, 3.0]"
2018-09-23T13:00:00+00:00,Chievo,"[2.0, 5.0, 2.0, 3.0, 3.0]"
2018-09-26T19:00:00+00:00,Chievo,"[5.0, 2.0, 3.0, 3.0, 4.0]"
2018-09-30T13:00:00+00:00,Chievo,"[2.0, 3.0, 3.0, 4.0, 4.0]"
2018-10-07T13:00:00+00:00,Chievo,"[3.0, 3.0, 4.0, 4.0, 2.0]"
2018-10-21T13:00:00+00:00,Chievo,"[3.0, 4.0, 4.0, 2.0, 3.0]"
2018-10-28T14:00:00+00:00,Chievo,"[4.0, 4.0, 2.0, 3.0, 2.0]"
2018-11-04T14:00:00+00:00,Chievo,"[4.0, 2.0, 3.0, 2.0, 5.0]"
2018-11-11T14:00:00+00:00,Chievo,"[2.0, 3.0, 2.0, 5.0, 4.0]"
2018-11-25T14:00:00+00:00,Chievo,"[3.0, 2.0, 5.0, 4.0, 2.0]"
2018-12-02T17:00:00+00:00,Chievo,"[2.0, 5.0, 4.0, 2.0, 2.0]"
2018-12-09T14:00:00+00:00,Chievo,"[5.0, 4.0, 2.0, 2.0, 2.0]"
2018-12-16T11:30:00+00:00,Chievo,"[4.0, 2.0, 2.0, 2.0, 3.0]"
2018-12-22T17:00:00+00:00,Chievo,"[2.0, 2.0, 2.0, 3.0, 2.0]"
2018-12-26T14:00:00+00:00,Chievo,"[2.0, 2.0, 3.0, 2.0, 5.0]"
2018-12-29T14:00:00+00:00,Chievo,"[2.0, 3.0, 2.0, 5.0, 4.0]"
2019-01-21T19:30:00+00:00,Chievo,"[3.0, 2.0, 5.0, 4.0, 2.0]"
2019-01-27T11:30:00+00:00,Chievo,"[2.0, 5.0, 4.0, 2.0, 5.0]"
2019-02-02T14:00:00+00:00,Chievo,"[5.0, 4.0, 2.0, 5.0, 2.0]"
2019-02-08T19:30:00+00:00,Chievo,"[4.0, 2.0, 5.0, 2.0, 3.0]"
2019-02-17T14:00:00+00:00,Chievo,"[2.0, 5.0, 2.0, 3.0, 3.0]"
2019-02-24T14:00:00+00:00,Chievo,"[5.0, 2.0, 3.0, 3.0, 4.0]"
2019-03-03T11:30:00+00:00,Chievo,"[2.0, 3.0, 3.0, 4.0, 4.0]"
2019-03-09T19:30:00+00:00,Chievo,"[3.0, 3.0, 4.0, 4.0, 2.0]"
2019-03-17T14:00:00+00:00,Chievo,"[3.0, 4.0, 4.0, 2.0, 3.0]"
2019-03-29T19:30:00+00:00,Chievo,"[4.0, 4.0, 2.0, 3.0, 2.0]"
2019-04-04T17:00:00+00:00,Chievo,"[4.0, 2.0, 3.0, 2.0, 5.0]"
2019-04-08T18:30:00+00:00,Chievo,"[2.0, 3.0, 2.0, 5.0, 4.0]"
