Players
Kingsley Ehizibue
Sebastiaan Bornauw
Rafael Czichos
Marco Hoger
Dominick Drexler
Kingsley Schindler
Birger Verstraete
Louis Schaub
Uwe Hunemeier
Christian Strohdiek
Mohamed Drager
Jamilu Collins
Laurent Jans
Kai Proger
Klaus Gjasula
Cauly Oliveira Souza
Sebastian Vasiliadis
Christopher Antwi-Adjej
Sven Michel
Streli Mamba
Rafal Gikiewicz
Marvin Friedrich
Christopher Lenz
Keven Schlotterbeck
Christopher Trimmel
Manuel Schmiedebach
Felix Kroos
Robert Andrich
Grischa Promel
Joshua Mees
Marius Bulter
Sheraldo Becker
Anthony Ujah
Sebastian Andersson
Suleiman Abdullahi
Marcus Ingvartsen
Ruben Martinez
Aridane Hernandez
David Garcia
Pervis Estupinan
Fran Merida
