playerName,competitions,teamName
Rodolfo,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Agenor,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Marcos Felipe,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Muriel,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Frazan,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Gilberto,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Digão,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Léo Santos,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Matheus Ferraz,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Mascarenhas,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Nino,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Igor Julião,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Lucas,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Ganso,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Pedro,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Caio,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Pablo Dyego,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Airton,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Dodi,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Bruno Silva,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Yuri,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Nenê,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Caio Henrique,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Ewandro,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Daniel,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Yony González,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Allan,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Zé Ricardo,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Lucas Felipe Calegari,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Brenner,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Kelvin,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Guilherme,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Léo Artur,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Lucão,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Wellington Nem,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Patrick Carvalho,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Marcos Paulo,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
João Pedro,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Miguel Silveira,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Fernando Diniz,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",Fluminense FC
Victor,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Uilson,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Cleiton,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Michael,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Fernando,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Léo Silva,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Patric,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Fábio Santos,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Matheus Mancini,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Maidana,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Igor Rabello,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Réver,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Guga,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Lucas Hernández,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Carlos César,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Hulk,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Matheus Stockl,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Renan Guedes,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
Juan Cazares,"['Copa Sudamericana', 'Copa do Brasil', 'Série A']",CA Mineiro
