,col
0,lucas
1,ganso
2,yuri
3,allan
4,victor
5,neto
6,franco-di-santo
7,michel
8,alisson
9,diego-tardelli
10,márcio-azevedo
11,pedrinho
12,marcelo
13,fabiano
14,vitor-hugo
15,lucas-lima
16,matheus-fernandes
17,willian
18,miguel-borja
19,luiz-adriano
20,cícero
21,yuri
22,vitinho
23,rafael
24,éderson
25,michel
26,fred
27,vágner
28,alex-silva
29,wesley
30,lucas
31,bruno-alves
32,bruno-peres
33,hernanes
34,yuri
35,rogerio
36,fernandinho
37,pedrinho
38,miranda
39,filipe-luis
40,rafinha
41,gustavo-cuellar
42,ronaldo
43,gerson
44,yuri
45,giorgian-de-arrascaeta
46,gabriel-barbosa
47,vitinho
48,fabinho
49,marcelo-boeck
50,juan-quintero
51,felipe-pires
52,éderson
53,naldo
54,gerson
55,rafinha
56,yago
57,rafinha
58,yago
59,ricardo
60,alisson
61,paolo-guerrero
62,joão-paulo
63,luan-peres
64,christian-cueva
65,bryan-ruiz
66,derlis-gonzález
67,tosin-adarabioyo
68,greg-cunningham
69,elliott-bennett
70,bradley-dack
71,adam-armstrong
72,marcus-bettinelli
73,alfie-mawson
74,tim-ream
75,denis-odoi
76,marcelo-djalo
77,cyrus-christie
78,timothy-fosu-mensah
79,maxime-le-marchand
80,tom-cairney
81,kevin-mcdonald
82,luca-de-la-torre
83,neeskens-kebano
84,stefan-johansen
85,steven-sessegnon
86,matt-o-riley
87,bobby-reid
88,joe-bryan
89,harry-arter
90,josh-onomah
91,aboubakar-kamara
92,rui-fonte
93,ivan-cavaleiro
94,anthony-knockaert
95,luke-amos
96,eberechi-eze
97,jack-butland
98,danny-batth
99,cameron-carter-vickers
100,ryan-shawcross
101,thomas-edwards
102,bruno-martins-indi
103,stephen-ward
104,tommy-smith
105,oghenekaro-etebo
106,joe-allen
107,kevin-wimmer
108,sam-clucas
109,james-mcclean
110,giannelli-imbula
111,peter-crouch
112,sam-vokes
113,tom-ince
114,kristoffer-nordfeldt
115,freddie-woodman
116,ben-wilmot
117,kyle-naughton
118,bersant-celina
119,wayne-routledge
120,daniel-james
121,tom-carroll
122,aldo-kalulu
123,sam-surridge
124,wilfried-bony
125,andre-ayew
126,kyle-bartley
127,allan-nyom
128,kieran-gibbs
129,jake-livermore
130,sam-field
131,matt-phillips
132,hal-robson-kanu
133,oliver-burke
134,rekeem-harper
135,grady-diangana
136,filip-krovinovic
137,charlie-austin
138,dujon-sterling
139,reece-james
140,sam-morsy
141,anthony-pilkington
142,eric-lichaj
143,brandon-fleming
144,jackson-irvine
145,brian-lenihan
146,kamil-grosicki
147,jarrod-bowen
148,cheikh-ndoye
