"PlayerName","Club","Position","PositionType","DoB","Age","IPOPrice","IPODate","CurrentPrice"
"Paul Pogba","Man United","Midfield","Central Midfielder","15/03/1993","26","£0.08","","£7.10"
"Neymar","PSG","Forward","Second Striker/ Winger","05/02/1992","27","£0.08","","£6.97"
"Jadon Sancho","Borussia Dortmund","Midfield","Attacking Midfielder/ Winger","25/03/2000","19","£0.10","24/11/2017","£7.19"
"Kylian Mbappé","PSG","Forward","Centre Forward","20/12/1998","20","£0.08","","£6.82"
"Raheem Sterling","Man City","Forward","Second Striker/ Winger","08/12/1994","24","£0.08","","£6.33"
"Lionel Messi","Barcelona","Forward","Second Striker/ Winger","24/06/1987","32","£0.08","","£5.09"
"Mohamed Salah","Liverpool","Forward","Second Striker/ Winger","15/06/1992","27","£0.08","","£5.01"
"Harry Kane","Tottenham","Forward","Centre Forward","28/07/1993","26","£0.08","","£4.94"
"Marcus Rashford","Man United","Forward","Second Striker/ Winger","31/10/1997","21","£0.08","","£4.87"
"Callum Hudson-Odoi","Chelsea","Forward","Second Striker/ Winger","07/11/2000","18","£0.17","17/01/2018","£4.69"
"Mason Greenwood","Man United","Forward","Second Striker/ Winger","01/10/2001","17","£0.60","07/11/2018","£4.52"
"Joao Felix","Benfica","Midfield","Attacking Midfielder/ Winger","10/11/1999","19","£0.33","17/09/2018","£4.76"
"Eden Hazard","Chelsea","Forward","Second Striker/ Winger","07/01/1991","28","£0.08","","£4.27"
"Phil Foden","Man City","Midfield","Attacking Midfielder/ Winger","28/05/2000","19","£0.10","24/11/2017","£3.76"
"Kai Havertz","Leverkusen","Midfield","Attacking Midfielder/ Winger","11/06/1999","20","£0.17","21/12/2017","£4.14"
"Joshua Kimmich","Bayern Munich","Goalkeeper/ Defender","Full back","08/02/1995","24","£0.08","","£3.42"
"Trent Alexander-Arnold","Liverpool","Goalkeeper/ Defender","Full back","07/10/1998","20","£0.08","","£3.21"
"James Maddison","Leicester City","Midfield","Attacking Midfielder/ Winger","23/11/1996","22","£0.17","16/02/2018","£3.47"
"Kevin De Bruyne","Man City","Midfield","Central Midfielder","28/06/1991","28","£0.08","","£3.75"
"Virgil van Dijk","Liverpool","Goalkeeper/ Defender","Centre Back","08/07/1991","28","£0.08","","£3.14"
"Rhian Brewster","Liverpool","Forward","Centre Forward","01/04/2000","19","£0.10","21/12/2017","£2.89"
"Vinicius Junior","Real Madrid","Forward","Second Striker/ Winger","12/07/2000","19","£0.20","06/02/2018","£3.01"
"Anthony Martial","Man United","Forward","Second Striker/ Winger","05/12/1995","23","£0.08","","£3.37"
"Cristiano Ronaldo","Juventus","Forward","Centre Forward","05/02/1985","34","£0.08","","£2.90"
"Paulo Dybala","Juventus","Forward","Second Striker/ Winger","15/11/1993","25","£0.08","","£2.87"
"Nicolas Pepe","Lille","Forward","Second Striker/ Winger","29/05/1995","24","£0.23","27/11/2017","£2.82"
"Christian Pulisic","Borussia Dortmund","Midfield","Attacking Midfielder/ Winger","18/09/1998","20","£0.08","","£2.89"
"Moise Kean","Juventus","Forward","Centre Forward","28/02/2000","19","£0.17","08/01/2018","£2.56"
"Bernardo Silva","Man City","Midfield","Attacking Midfielder/ Winger","10/08/1994","25","£0.08","","£2.54"
"Mason Mount","Derby","Midfield","Attacking Midfielder/ Winger","10/01/1999","20","£0.17","07/03/2018","£3.36"
"Sadio Mane","Liverpool","Forward","Second Striker/ Winger","10/04/1992","27","£0.08","","£3.02"
"Gabriel Jesus","Man City","Forward","Centre Forward","03/04/1997","22","£0.08","","£2.74"
"Rodrygo","Santos","Forward","Centre Forward","09/01/2001","18","£0.27","12/06/2018","£2.45"
"Ousmane Dembele","Barcelona","Forward","Second Striker/ Winger","15/05/1997","22","£0.08","","£2.40"
"Daniel James","Swansea","Midfield","Attacking Midfielder/ Winger","10/11/1997","21","£0.23","28/02/2019","£2.54"
"Harry Maguire","Leicester City","Goalkeeper/ Defender","Centre Back","05/03/1993","26","£0.33","14/11/2017","£2.78"
"Reiss Nelson","Hoffenheim","Forward","Second Striker/ Winger","10/12/1999","19","£0.17","14/11/2017","£2.29"
"Thiago Alcántara","Bayern Munich","Midfield","Central Midfielder","11/04/1991","28","£0.08","","£2.24"
"Antoine Griezmann","Atlético Madrid","Forward","Centre Forward","21/03/1991","28","£0.08","","£2.36"
"Matthijs de Ligt","Ajax","Goalkeeper/ Defender","Centre Back","12/08/1999","20","£0.13","21/12/2017","£2.29"
"Tammy Abraham","Swansea","Forward","Centre Forward","02/10/1997","21","£0.08","","£2.18"
"Aaron Wan-Bissaka","Crystal Palace","Goalkeeper/ Defender","Full back","26/11/1997","21","£0.33","24/08/2018","£2.34"
"Ruben Loftus-Cheek","Chelsea","Midfield","Central Midfielder","23/01/1996","23","£0.33","15/11/2017","£2.29"
"Luka Jovic","Ein Frankfurt","Forward","Second Striker/ Winger","23/12/1997","21","£0.10","01/12/2017","£2.17"
"Memphis Depay","Lyon","Forward","Second Striker/ Winger","13/02/1994","25","£0.08","","£2.40"
"Jack Grealish","Aston Villa","Midfield","Attacking Midfielder/ Winger","10/09/1995","23","£0.23","16/02/2018","£2.16"
"Frenkie de Jong","Ajax","Midfield","Central Midfielder","12/05/1997","22","£0.13","19/01/2018","£2.11"
"Leroy Sane","Man City","Forward","Second Striker/ Winger","11/01/1996","23","£0.08","","£2.24"
"Joe Willock","Arsenal","Midfield","Central Midfielder","20/08/1999","20","£0.13","20/12/2017","£2.05"
"Ryan Sessegnon","Fulham","Midfield","Attacking Midfielder/ Winger","18/05/2000","19","£0.08","","£2.00"
"Christian Eriksen","Tottenham","Midfield","Attacking Midfielder/ Winger","14/02/1992","27","£0.08","","£2.03"
"Wilfried Zaha","Crystal Palace","Forward","Second Striker/ Winger","10/11/1992","26","£0.08","","£2.03"
"Youri Tielemans","Leicester City","Midfield","Attacking Midfielder/ Winger","07/05/1997","22","£0.08","","£1.96"
"Bruno Fernandes","Sporting","Midfield","Attacking Midfielder/ Winger","08/09/1994","24","£0.17","21/11/2017","£2.03"
"Richarlison","Everton","Forward","Second Striker/ Winger","10/05/1997","22","£0.40","09/11/2017","£1.99"
"Julian Brandt","Leverkusen","Forward","Second Striker/ Winger","02/05/1996","23","£0.27","14/11/2017","£2.01"
